BPLC_NM,BZSTAT_SE_NM,CLSBIZ_YMD,CRD_INFO_X,CRD_INFO_Y,DAT_UPDT_PNT,DAT_UPDT_SE,DTL_SALS_STTS_CD,DTL_SALS_STTS_NM,LAST_MDFCN_PNT,LCPMT_RTRCN_YMD,LCPMT_YMD,LCTN_AREA,LCTN_ZIP,LOTNO_ADDR,MNG_NO,OPN_ATMY_GRP_CD,ROAD_NM_ADDR,ROAD_NM_ZIP,ROBIZ_YMD,SALS_STTS_CD,SALS_STTS_NM,STOR_SE_NM,TCBIZ_BGNG_YMD,TCBIZ_END_YMD,TELNO
스타필드 청라,복합쇼핑몰,,,,2026-07-01 13:36:35,I,5,영업개시전,2026-04-28 18:02:49,,2026-04-28,181633.89,,인천광역시 서해구 청라동 6-16 등 2필지,2026356028507500002,3561000,,,,01,영업/정상,대규모점포,,,02-6921-1681
세이지움 태릉입구역,그 밖의 대규모점포,,206774.874230196,457011.632629502,2026-06-11 03:03:03,U,1,정상영업,2026-06-10 17:54:45,,2026-04-27,5663.4,,서울특별시 중랑구 묵동 165,2026306021507500001,3060000,서울특별시 중랑구 숙선옹주로 4 (묵동),02033,,01,영업/정상,대규모점포,,,1544-6508
롯데쇼핑(주)롯데슈퍼 영주점,대형마트,,345200.857882274,369525.647407351,2026-04-24 21:50:43,I,1,정상영업,2026-04-22 14:54:18,,2026-04-24,1628.33,,경상북도 영주시 휴천동 693-9 롯데마트,2026509018007500001,5090000,"경상북도 영주시 구성로 256, 롯데마트 (휴천동)",36161,,01,영업/정상,준대규모점포,,,054-632-5601
(주)이마트에브리데이 도봉아테라점,구분없음,,204067.822626124,463429.737549948,2026-04-11 22:18:12,I,5,영업개시전,2026-04-10 13:06:44,,2026-04-10,255.6,,서울특별시 도봉구 도봉동 95 도봉 아테라,2026309018507500002,3090000,"서울특별시 도봉구 마들로 708 (도봉동, 도봉 아테라)",01325,,01,영업/정상,준대규모점포,,,02-380-5042
창동민자역사 상업시설(arena X square),그 밖의 대규모점포,,204138.204768094,461223.191625815,2026-04-10 22:18:13,I,5,영업개시전,2026-04-09 10:45:07,,2026-04-09,40493.36,,서울특별시 도봉구 창동 135-1 경원선 창동민자역사,2026309018507500001,3090000,"서울특별시 도봉구 마들로11가길 6-8, 경원선 창동민자역사 (창동)",01414,,01,영업/정상,대규모점포,,,02-3444-5600
GS THE FRESH 인천가좌점,구분없음,,,,2026-07-01 13:36:35,I,5,영업개시전,2026-04-06 11:21:29,,2026-04-06,275.84,,인천광역시 서해구 가좌동 627 가재울역트루엘에코시티아파트,2026356028507500001,3561000,"인천광역시 서해구 열우물로240번길 20, 단지상가동 B124~B128호 (가좌동, 가재울역트루엘에코시티아파트)",22823,,01,영업/정상,준대규모점포,,,02-2006-2364
롯데슈퍼 울산선우 가맹점,구분없음,,412263.877192354,232694.744903866,2026-05-06 22:48:25,I,1,정상영업,2026-03-31 10:47:50,,2026-03-31,960.9,,울산광역시 중구 남외동 385-3 선우시장/선화아파트,2026369018307500001,3690000,"울산광역시 중구 곽남14길 37 (남외동, 선우시장/선화아파트)",44491,,01,영업/정상,준대규모점포,,,052-296-5810
이마트에브리데이 양재역점,구분없음,,203342.695983882,442297.080663687,2026-03-26 22:18:24,I,1,정상영업,2026-03-25 13:52:18,,2026-03-25,244.62,,서울특별시 서초구 양재동 9 코사마트,2026321019507500001,3210000,서울특별시 서초구 남부순환로356길 49 (양재동),06742,,01,영업/정상,준대규모점포,,,
하나로마트 외대역점,구분없음,,205541.211931615,455132.605075423,2026-04-01 03:03:03,U,1,정상영업,2026-03-31 13:20:17,,2026-03-11,885.6,,서울특별시 동대문구 이문동 149-8,2026305021007500002,3050000,서울특별시 동대문구 이문로 120 (이문동),02418,,01,영업/정상,준대규모점포,,,02-3498-1262
GS THE FRESH 경희대학교점,구분없음,,204599.373004139,454552.779662883,2026-06-10 03:03:03,U,1,정상영업,2026-06-09 14:33:44,,2026-03-11,193,,서울특별시 동대문구 회기동 33-1,2026305021007500001,3050000,서울특별시 동대문구 회기로21길 44 (회기동),02453,,01,영업/정상,준대규모점포,,,02-2006-2364
무신사 캠퍼스 S1,전문점,,204871.625958952,448673.754753153,2026-05-07 22:31:41,U,1,정상영업,2026-04-24 17:53:36,,2026-03-11,5234.64,,서울특별시 성동구 성수동2가 324-2 무신사 성수 S1,2026303010307500001,3030000,"서울특별시 성동구 성수이로 62, 무신사 성수 S1 (성수동2가)",04784,,01,영업/정상,대규모점포,,,1544-7199
노브랜드 제천장락점,구분없음,,308877.420571829,406585.143845894,2026-08-08 22:48:10,U,1,정상영업,2026-08-07 16:43:58,,2026-03-03,891,,충청북도 제천시 장락동 406-3 0통,2026440029707500001,4400000,"충청북도 제천시 장락로 146, - 1층 (장락동)",27142,,01,영업/정상,준대규모점포,,,043-644-7496
GS THE FRESH 대구동인점,구분없음,,,,2026-05-08 22:34:09,I,5,영업개시전,2026-03-03 09:29:02,,2026-03-03,233.3,,대구광역시 중구 동인동1가 420 힐스테이트 동인 더 스카이,2026341018207500001,3410000,"대구광역시 중구 태평로 240, 근린생활시설 135~138호 (동인동1가, 힐스테이트 동인 더 스카이)",41911,,01,영업/정상,준대규모점포,,,
GS THE FRESH 목동신목점,구분없음,,189000.48603009,445955.944424525,2026-03-07 22:18:11,U,1,정상영업,2026-03-06 10:17:38,,2026-03-03,297,,서울특별시 양천구 신정동 1278 목동삼성아파트,2026314027207500001,3140000,"서울특별시 양천구 신목로 7, 상가동 지하1층 101~104호 (신정동, 목동삼성아파트)",08016,,01,영업/정상,준대규모점포,,,02-2654-9072
롯데슈퍼 신곡점,구분없음,,204869.561341151,470861.966898254,2026-05-11 22:02:34,I,1,정상영업,2026-02-27 15:10:47,,2026-02-27,1318.5,,경기도 의정부시 신곡동 560,2026382042207500002,3820000,경기도 의정부시 동일로 583 (신곡동),11744,,01,영업/정상,준대규모점포,,,031-843-3584
GS THE FRESH 송정역점,구분없음,,183132.629865058,450838.756773739,2026-03-19 22:18:11,U,1,정상영업,2026-03-18 14:26:24,,2026-02-19,262.81,,서울특별시 강서구 공항동 1378 발쿠치네하우스 101동 101~4호,2026315020007500001,3150000,"서울특별시 강서구 송정로 53, 101동 101~104호 (공항동, 발쿠치네하우스)",07622,,01,영업/정상,준대규모점포,,,02-2666-5613
노브랜드 양산가촌점,구분없음,,381423.484538491,204238.792533089,2026-02-10 21:48:10,I,5,영업개시전,2026-02-09 10:15:52,,2026-02-09,257.4,,경상남도 양산시 물금읍 가촌리 836-8,2026538032007500001,5380000,"경상남도 양산시 물금읍 황산로 527, 외 5필지 1층 102호",50603,,01,영업/정상,준대규모점포,,,
송탄농업협동조합 하나로마트 서정점,구분없음,,204988.918145296,395107.290741008,2026-01-23 21:51:30,U,1,정상영업,2026-01-22 09:20:14,,2026-01-16,1436,,경기도 평택시 서정동 270-21 송탄농협 하나로마트,2026391041807500001,3910000,"경기도 평택시 서정역로36번길 11-2, 송탄농협 하나로마트 (서정동)",17779,,01,영업/정상,준대규모점포,,,031-667-1521
롯데쇼핑(주)롯데슈퍼 포천일동점,그 밖의 대규모점포,,227943.019194804,495179.808446276,2026-05-14 03:03:03,U,1,정상영업,2026-05-13 13:06:51,,2026-01-12,716.03,,경기도 포천시 일동면 기산리 82-33,2026560022907500001,5600000,"경기도 포천시 일동면 화동로 1072, 롯데슈퍼 포천일동점",11117,,01,영업/정상,준대규모점포,,,
롯데쇼핑(주)롯데마트,대형마트,,206416.225089197,405292.957866229,2026-05-16 03:03:03,U,1,정상영업,2026-05-15 13:29:55,,2026-01-06,8575,,경기도 오산시 오산동 868 롯데마트오산점,2025400019407500001,4000000,"경기도 오산시 경기대로 271, 롯데마트오산점 (오산동)",18135,,01,영업/정상,대규모점포,,,031-371-2501
롯데쇼핑 (주) 롯데마트 정읍점,대형마트,,185466.212511596,231110.263474669,2026-06-05 22:48:10,I,1,정상영업,2026-06-04 10:45:30,,2025-12-31,11219.01,,전북특별자치도 정읍시 농소동 446-1 롯데마트,2025469107607500002,4691000,"전북특별자치도 정읍시 벚꽃로 85, 롯데마트 (농소동)",56156,,01,영업/정상,대규모점포,,,063-570-2500
롯데쇼핑(주) 롯데마트 정읍점,대형마트,,185466.212511596,231110.263474669,2026-04-30 22:48:24,I,1,정상영업,2025-12-31 18:00:40,,2025-12-31,11219.01,,전북특별자치도 정읍시 농소동 446-1 롯데마트,2025469107607500001,4691000,"전북특별자치도 정읍시 벚꽃로 85, 롯데마트 (농소동)",56156,,01,영업/정상,대규모점포,,,063-570-2500
롯데쇼핑㈜ 프리미엄아울렛 파주점,복합쇼핑몰,,172931.265518853,468411.848859123,2026-05-02 22:04:32,U,1,정상영업,2026-04-14 16:44:44,,2025-12-30,36314,,경기도 파주시 문발동 645 롯데프리미엄아울렛,2025406055207500001,4060000,"경기도 파주시 회동길 390, 롯데프리미엄아울렛 (문발동)",10881,,01,영업/정상,대규모점포,,,031-960-3194
GS THE FRESH 이문파크자이점,구분없음,,205541.211931615,455132.605075423,2026-01-03 22:18:10,U,1,정상영업,2026-01-02 09:40:22,,2025-12-24,195,,서울특별시 동대문구 이문동 149-8 근린생활시설 2동 101호,2025305021007500003,3050000,서울특별시 동대문구 이문로 120 (이문동),02418,,01,영업/정상,준대규모점포,,,02-2006-2364
이랜드킴스클럽 광진구의점,대형마트,,,,2026-05-08 03:03:03,U,1,정상영업,2026-05-07 14:47:27,,2025-12-16,958.68,,서울특별시 광진구 자양동 870 판매시설,2025304019007500003,3040000,"서울특별시 광진구 아차산로 402, 판매시설 지하1층 (자양동)",05050,,01,영업/정상,준대규모점포,,,02-3425-3704
GS THE FRESH 창원더퍼스트점,그 밖의 대규모점포,,,,2026-04-30 22:00:15,U,1,정상영업,2026-01-23 09:55:29,,2025-12-11,191.7,,경상남도 창원시 성산구 중앙동 528,2025567056807500002,5670000,"경상남도 창원시 성산구 대상중앙로 10, 창원더퍼스트(아)상가동 1층 106동~110호 (중앙동)",51519,,01,영업/정상,준대규모점포,,,
유탑트윈펠리스,그 밖의 대규모점포,,212649.486418551,454907.121955254,2025-12-15 16:15:28,I,5,영업개시전,2025-12-01 17:47:10,,2025-11-28,4125.17,,경기도 구리시 수택동 481 유탑 트윈팰리스,2025398012907500001,3980000,"경기도 구리시 원수택로64번길 33 (수택동, 유탑 트윈팰리스)",11932,,01,영업/정상,대규모점포,,,031-551-2100
GS THE FRESH 잠실래미안점,구분없음,,209720.290631496,446244.350393389,2026-05-20 03:03:03,U,1,정상영업,2026-05-19 16:52:23,,2025-11-26,616.14,,서울특별시 송파구 신천동 20-4 래미안아이파크 단지내 상가 B101~B106,2025323029107500001,3230000,"서울특별시 송파구 올림픽로35길 45, 잠실래미안아이파크 단지내 상가 B101~B106호 (신천동)",05508,,01,영업/정상,준대규모점포,,,02-2006-2364
이마트에브리데이 중화리버센SK점,대형마트,,206612.198807103,455630.425418005,2025-12-25 02:40:00,U,1,정상영업,2025-12-23 10:29:28,,2025-11-25,183.97,,서울특별시 중랑구 중화동 331-1 리버센 SK VIEW 롯데캐슬,2025306021507500001,3060000,"서울특별시 중랑구 중랑천로 200, 102,105,404호 (중화동, 리버센 SK VIEW 롯데캐슬)",02016,,01,영업/정상,준대규모점포,,,
트레이더스 홀세일클럽 의정부점,대형마트,,,,2026-05-11 22:02:33,U,5,영업개시전,2026-03-30 17:41:00,,2025-10-31,10307.5,,경기도 의정부시 산곡동 773,2025382042207500001,3820000,,,,01,영업/정상,대규모점포,,,02-380-9553
GS THE FRESH 세종새나루점,그 밖의 대규모점포,,,,2026-03-26 22:01:15,I,5,영업개시전,2025-12-29 14:32:55,,2025-10-24,317.9,,세종특별자치시 집현동 1129,2025569040807500002,5690000,"세종특별자치시 집현동로 77, 105~110호 (집현동)",30141,,01,영업/정상,준대규모점포,,,044-863-2230
롯데슈퍼 도봉캐슬점,구분없음,,203920.444016775,462830.484935873,2026-04-25 03:03:03,U,1,정상영업,2026-04-24 11:24:13,,2025-10-16,1001.2,,서울특별시 도봉구 방학동 717-6 도봉 롯데캐슬 골든파크 B107~호,2025309018507500001,3090000,"서울특별시 도봉구 도봉로150마길 34, 지하1층 B107~B126호 (방학동, 도봉 롯데캐슬 골든파크)",01332,,01,영업/정상,준대규모점포,,,02-2290-5996
이마트에브리데이 대전숭어리점,구분없음,,233812.635772246,315580.570209871,2026-05-07 22:30:16,I,5,영업개시전,2025-10-02 15:58:58,,2025-10-02,190,,대전광역시 서구 괴정동 122-8,2025366021607500003,3660000,"대전광역시 서구 괴정로 30, 숭어리샘타운 102,106,107,108호 (괴정동)",35290,,01,영업/정상,준대규모점포,,,
금암중심상가 골목형상점가,구분없음,,203988.221680623,408389.663202656,2025-12-15 16:15:28,I,1,정상영업,2025-11-05 15:38:10,,2025-09-29,0,,경기도 오산시 금암동 512-4 롯데슈퍼,2025400019407500002,4000000,"경기도 오산시 수청로 188, 롯데슈퍼 (금암동)",18109,,01,영업/정상,준대규모점포,,,
GS THE FRESH 강서등촌역점,구분없음,,188106.945381987,450022.470582738,2025-12-15 16:15:28,U,1,정상영업,2025-11-07 13:53:33,,2025-09-23,193.39,,서울특별시 강서구 염창동 273,2025315020007500002,3150000,서울특별시 강서구 공항대로61길 36 (염창동),07562,,01,영업/정상,준대규모점포,,,02-2658-3337
GS THE FRESH 영등포구청역점,구분없음,,190934.657408952,447004.186609695,2026-05-11 22:40:07,U,1,정상영업,2025-10-31 09:43:13,,2025-09-22,227.53,,서울특별시 영등포구 당산동3가 76 당산 임대주택,2025318027007500002,3180000,"서울특별시 영등포구 양산로23길 16, 당산 임대주택 106~108호 (당산동3가)",07259,,01,영업/정상,준대규모점포,,,02-2006-2364
올림픽파크포레온 스테이션9,그 밖의 대규모점포,,212027.481158905,446598.591776331,2026-05-06 22:47:39,U,1,정상영업,2025-11-25 16:52:26,,2025-09-15,8884.28,,서울특별시 강동구 둔촌동 174-1 올림픽파크포레온,2025324028907500006,3240000,"서울특별시 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온)",05410,,01,영업/정상,대규모점포,,,
올림픽파크포레온 스테이션5,그 밖의 대규모점포,,212195.109947109,447197.273286818,2026-05-06 22:47:39,I,1,정상영업,2025-10-01 15:28:52,,2025-09-15,33071.94,,서울특별시 강동구 둔촌동 170-1 포레온스테이션5,2025324028907500005,3240000,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)",05409,,01,영업/정상,대규모점포,,,
GS THE FRESH 대전복수점,구분없음,,233649.052637904,311925.205011171,2026-05-07 22:30:16,I,5,영업개시전,2025-09-11 15:52:22,,2025-09-11,255,,대전광역시 서구 복수동 274-13,2025366021607500002,3660000,"대전광역시 서구 복수중로34번길 3, 1층 (복수동)",35404,,01,영업/정상,준대규모점포,,,
GS THE FRESH 광진중곡점,대형마트,,207209.236877061,450465.185988176,2025-12-19 02:40:00,U,1,정상영업,2025-12-17 09:15:10,,2025-09-03,246.9,,서울특별시 광진구 중곡동 140-27,2025304019007500002,3040000,"서울특별시 광진구 천호대로 577, 1층 (중곡동)",04930,,01,영업/정상,준대규모점포,,,02-2006-2364
(주)이마트에브리데이 수유시장점,구분없음,,201956.180985499,458714.365820521,2026-04-30 22:35:18,I,1,정상영업,2025-09-27 14:34:54,,2025-08-29,925.62,,서울특별시 강북구 수유동 54-5 수유시장,2025308019007500002,3080000,"서울특별시 강북구 도봉로67길 18, 수유시장 1층 (수유동)",01117,,01,영업/정상,준대규모점포,,,02-380-5042
GS THE FRESH 세종반곡로점,그 밖의 대규모점포,,227994.844558214,333056.408656317,2026-03-26 22:01:15,U,5,영업개시전,2025-11-11 19:04:00,,2025-08-21,262.14,,세종특별자치시 반곡동 862 왕관빌딩,2025569040807500001,5690000,"세종특별자치시 한누리대로 1820, 왕관빌딩 1층 119~124호 (반곡동)",30146,,01,영업/정상,준대규모점포,,,
GS더프레쉬 미추홀구청점,그 밖의 대규모점포,,,,2026-03-26 22:48:23,I,1,정상영업,2025-09-15 10:04:36,,2025-08-20,181.8,,인천광역시 미추홀구 숭의동 0,2025351057907500006,3510500,"인천광역시 미추홀구 독정이로 82, 두산위브더제니스 센트럴여의 상가2동 101호~104호 (숭의동)",22163,,01,영업/정상,준대규모점포,,,032-887-8885
춘천철원화천양구축산농협 하나로마트(후평점),구분없음,,265400.35106042,487577.815703786,2026-05-10 21:30:41,U,1,정상영업,2025-12-02 14:02:58,,2025-08-11,786.84,,강원특별자치도 춘천시 후평동 244-34,2025418108107500001,4181000,강원특별자치도 춘천시 후석로440번길 10 (후평동),24232,,01,영업/정상,준대규모점포,,,033-252-3211
롯데쇼핑(주)롯데슈퍼 대구서변점,구분없음,,343888.62865782,270482.992481914,2026-05-03 22:36:12,U,1,정상영업,2026-04-22 13:06:51,,2025-08-11,1120,,대구광역시 북구 서변동 899-1,2025345016307500001,3450000,대구광역시 북구 호국로51길 35 (서변동),41477,,01,영업/정상,준대규모점포,,,053-955-5601
온양농협 하나로마트 이순신점,대형마트,,200807.952676366,363254.305043069,2026-05-06 22:48:28,I,1,정상영업,2025-09-05 13:31:32,,2025-08-08,7643.85,,충청남도 아산시 용화동 111-1,2025452038307500001,4520000,충청남도 아산시 남부로 246 (용화동),31580,,01,영업/정상,대규모점포,,,041-544-4864
GS THE FRESH 성동옥수점,구분없음,,201153.981577199,449188.97052419,2026-05-07 22:31:41,I,1,정상영업,2025-09-09 10:11:11,,2025-08-04,302,,서울특별시 성동구 옥수동 561 래미안 옥수 리버젠 상가,2025303010307500002,3030000,"서울특별시 성동구 독서당로 223, 래미안 옥수 리버젠 상가 상가동 423~428호 (옥수동)",04733,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 광명헤리티지점,구분없음,,188303.386632234,442260.738700953,2026-07-11 21:18:10,U,1,정상영업,2026-07-10 10:50:11,,2025-07-29,244.35,,경기도 광명시 철산동 235,2025390026207500001,3900000,"경기도 광명시 시청로 70, 광명 헤리티지 상가 1층 109~114호 (철산동)",14230,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 안양어반포레점,구분없음,,,,2025-12-15 16:15:28,I,1,정상영업,2025-07-30 08:59:41,,2025-07-29,181.02,,경기도 안양시 만안구 안양동 618-12 안양어반포레자연앤이편한세상 3단지,2025383028807500001,3830000,"경기도 안양시 만안구 냉천로 125, 3단지 상가 112~115호 (안양동, 안양어반포레자연앤이편한세상 3단지)",14029,,01,영업/정상,준대규모점포,,,
GS THE FRESH 관악봉천점,구분없음,,195007.987644999,442765.646975268,2025-12-15 16:15:28,I,1,정상영업,2025-08-01 17:58:04,,2025-07-29,214.2,,서울특별시 관악구 봉천동 622-27 은천빌딩,2025320022507500001,3200000,"서울특별시 관악구 은천로 81 (봉천동, 은천빌딩)",08715,,01,영업/정상,준대규모점포,,,02-000-0000
GS THE FRESH 대전둔산점,구분없음,,234095.761014821,315801.146401307,2026-05-07 22:30:16,I,5,영업개시전,2025-07-28 09:35:36,,2025-07-28,228,,대전광역시 서구 탄방동 514-360 둔산자이아이파크,2025366021607500001,3660000,"대전광역시 서구 계룡로 520, 근린생활시설 1층 106~112호 (탄방동, 둔산자이아이파크)",35267,,01,영업/정상,준대규모점포,,,
GS THE FRESH(대구사월역점),구분없음,,354859.878411554,260997.43642367,2026-05-03 22:40:52,I,5,영업개시전,2025-07-21 09:25:51,,2025-07-17,294.2,,대구광역시 수성구 신매동 30-5 시지 효성 백년가약 1단지,2025346019707500002,3460000,"대구광역시 수성구 달구벌대로 3280 (신매동, 시지 효성 백년가약 1단지)",42278,,01,영업/정상,준대규모점포,,,
